Issue Type,Summary,Description,Priority,Status,Components,Labels,Story Points,Epic Link
Task,Implement Recommendation Engine for Personalization,"As a developer, I want a recommendation engine so that we can provide personalized theme recommendations.

Acceptance Criteria:
- Analyze user feedback history to determine preferences
- Calculate theme scores based on ratings and mood_delta
- Recommend themes based on positive feedback
- Support time-of-day aware recommendations
- Suggest similar stories to favorites

Technical Implementation:
- Service: backend_fastapi/app/recommendation_engine.py
- Methods: get_recommended_themes, get_similar_stories
- Feedback-based learning algorithm
- Score-based ranking system",Medium,Done,Backend;ML,recommendations;personalization;ml,5,Production-Ready Features
Task,Enhance Guardrails for Child-Safe Content Filtering,"As a developer, I want enhanced guardrails so that we can provide age-appropriate content for children.

Acceptance Criteria:
- Support child_mode parameter in guardrail checks
- Apply stricter filters for child mode (strict, standard, relaxed)
- Additional banned terms for strict child mode
- Reduced tone thresholds for children
- Age-based content filter level determination

Technical Implementation:
- Enhanced ContentGuard.check_story() method
- Added child_mode and content_filter_level parameters
- Stricter banned terms for strict mode (scary, frightening, dark, shadow, loud, angry, fight, battle)
- Reduced exclamation point and caps limits for children",High,Done,Backend;Content Safety,guardrails;child-safety;content-filtering,5,Production-Ready Features
Task,Create Flutter Subscription Service and UI,"As a developer, I want Flutter subscription service and UI so that users can manage their subscriptions.

Acceptance Criteria:
- Get user subscription and usage quota
- Create/update subscriptions
- Cancel subscriptions
- Display subscription tier and status
- Show usage quota and remaining stories
- Subscription management screen with tier comparison

Technical Implementation:
- Service: frontend_flutter/lib/services/subscription_service.dart
- Screen: frontend_flutter/lib/screens/subscription_screen.dart
- Models: Subscription, UsageQuota
- UI with tier cards, usage display, upgrade/cancel buttons",High,Done,Frontend,subscription;flutter;ui,8,Production-Ready Features
Task,Create Flutter Notification Service,"As a developer, I want Flutter notification service so that we can register tokens and manage preferences.

Acceptance Criteria:
- Register notification token with backend
- Get notification preferences
- Update notification preferences
- Support for Android, iOS, and Web platforms

Technical Implementation:
- Service: frontend_flutter/lib/services/notification_service.dart
- Models: NotificationPreferences
- Platform detection (Android, iOS, Web)
- Token registration and preference management",High,Done,Frontend,notifications;flutter,5,Production-Ready Features
Task,Add Subscription API Endpoints,"As a developer, I want subscription API endpoints so that the frontend can manage subscriptions.

Acceptance Criteria:
- GET /api/v1/subscription - Get user subscription
- GET /api/v1/subscription/quota - Get usage quota
- POST /api/v1/subscription - Create/update subscription
- POST /api/v1/subscription/cancel - Cancel subscription
- Proper authentication and error handling

Technical Implementation:
- Added endpoints to backend_fastapi/app/main.py
- Integration with SubscriptionService
- JWT authentication required
- Proper error handling and logging",High,Done,Backend;API,subscription;api;endpoints,3,Production-Ready Features
Task,Add Notification API Endpoints,"As a developer, I want notification API endpoints so that the frontend can manage notifications.

Acceptance Criteria:
- POST /api/v1/notifications/register - Register notification token
- GET /api/v1/notifications/preferences - Get notification preferences
- PUT /api/v1/notifications/preferences - Update notification preferences
- Proper authentication and error handling

Technical Implementation:
- Added endpoints to backend_fastapi/app/main.py
- Integration with NotificationService
- JWT authentication required
- Proper error handling and logging",High,Done,Backend;API,notifications;api;endpoints,3,Production-Ready Features
Task,Add Recommendation API Endpoint,"As a developer, I want a recommendation API endpoint so that the frontend can get personalized recommendations.

Acceptance Criteria:
- GET /api/v1/recommendations - Get personalized theme recommendations
- Support for limit and time_of_day parameters
- Return recommendations with scores and reasons
- Proper authentication and error handling

Technical Implementation:
- Added endpoint to backend_fastapi/app/main.py
- Integration with RecommendationEngine
- JWT authentication required
- Proper error handling and logging",Medium,Done,Backend;API,recommendations;api;endpoints,3,Production-Ready Features
Task,Integrate Subscription Quota Checks into Story Generation,"As a developer, I want quota checks in story generation so that we can enforce subscription limits.

Acceptance Criteria:
- Check subscription quota before story generation
- Return 429 error with upgrade prompt if quota exceeded
- Increment usage count after successful generation
- Support for Free, Premium, and Family tiers

Technical Implementation:
- Modified generate_story endpoint in backend_fastapi/app/main.py
- Added quota check before story generation
- Increment usage count after successful generation
- Graceful error handling with upgrade prompts",High,Done,Backend,subscription;quota;story-generation,5,Production-Ready Features
Task,Integrate Child Mode into Story Generation,"As a developer, I want child mode support in story generation so that we can provide age-appropriate content.

Acceptance Criteria:
- Support child_mode flag in StoryRequest
- Fetch child profile to get content_filter_level
- Apply enhanced guardrails for child-safe content
- Track co-view sessions for family mode

Technical Implementation:
- Modified StoryRequest schema with child_mode and child_profile_id
- Enhanced guardrail checks with child_mode support
- Fetch child profile in story generation endpoint
- Apply appropriate content filter level",High,Done,Backend;Content Safety,family-mode;child-safety;story-generation,5,Production-Ready Features
Task,Add Subscription Configuration Settings,"As a developer, I want subscription configuration settings so that we can integrate with Stripe and RevenueCat.

Acceptance Criteria:
- Add Stripe secret key and webhook secret to config
- Add RevenueCat API key to config
- Support for environment variable configuration

Technical Implementation:
- Added settings to backend_fastapi/app/config.py
- stripe_secret_key, stripe_webhook_secret, revenuecat_api_key
- Environment variable support",Medium,Done,Backend;Configuration,subscription;configuration;stripe;revenuecat,2,Production-Ready Features
Task,Add CDN Configuration Settings,"As a developer, I want CDN configuration settings so that we can optimize asset delivery in the future.

Acceptance Criteria:
- Add CDN URL and enabled flag to config
- Support for environment variable configuration
- Prepare for Cloudflare or AWS CloudFront integration

Technical Implementation:
- Added settings to backend_fastapi/app/config.py
- cdn_url, cdn_enabled
- Environment variable support",Medium,Done,Backend;Configuration,cdn;configuration;performance,2,Production-Ready Features

